expr,pub_date,ref_date,value
bdfm,2008-01-01,1982-12-01,0.504064033392426
bdfm,2008-01-01,1983-03-01,3.65742022429675
bdfm,2008-01-01,1983-06-01,6.09407548604861
bdfm,2008-01-01,1983-09-01,8.60203649366254
bdfm,2008-01-01,1983-12-01,6.63958812132438
bdfm,2008-01-01,1984-03-01,7.80823098234055
bdfm,2008-01-01,1984-06-01,5.14243197913755
bdfm,2008-01-01,1984-09-01,3.1798167633616
bdfm,2008-01-01,1984-12-01,3.24296648440617
bdfm,2008-01-01,1985-03-01,4.75816725036222
bdfm,2008-01-01,1985-06-01,2.79931348673308
bdfm,2008-01-01,1985-09-01,3.32132908046782
bdfm,2008-01-01,1985-12-01,5.05001365312977
bdfm,2008-01-01,1986-03-01,3.34064116651987
bdfm,2008-01-01,1986-06-01,2.19566520963482
bdfm,2008-01-01,1986-09-01,3.70927636197748
bdfm,2008-01-01,1986-12-01,4.30661963186066
bdfm,2008-01-01,1987-03-01,5.1647884455455
bdfm,2008-01-01,1987-06-01,5.66627474127095
bdfm,2008-01-01,1987-09-01,5.19567509972053
bdfm,2008-01-01,1987-12-01,4.1388980684581
bdfm,2008-01-01,1988-03-01,4.97559793145864
bdfm,2008-01-01,1988-06-01,4.11966007421784
bdfm,2008-01-01,1988-09-01,4.25111099434334
bdfm,2008-01-01,1988-12-01,3.65637945088986
bdfm,2008-01-01,1989-03-01,3.7280824024217
bdfm,2008-01-01,1989-06-01,2.40579361737238
bdfm,2008-01-01,1989-09-01,1.91477676787822
bdfm,2008-01-01,1989-12-01,2.77772067276137
bdfm,2008-01-01,1990-03-01,2.70254395293967
bdfm,2008-01-01,1990-06-01,2.53389155276721
bdfm,2008-01-01,1990-09-01,1.17205124594559
bdfm,2008-01-01,1990-12-01,-1.97853178691119
bdfm,2008-01-01,1991-03-01,-1.75214045463361
bdfm,2008-01-01,1991-06-01,1.89046658378316
bdfm,2008-01-01,1991-09-01,2.64405101759056
bdfm,2008-01-01,1991-12-01,0.589342687575056
bdfm,2008-01-01,1992-03-01,1.24688749278812
bdfm,2008-01-01,1992-06-01,3.23368526804047
bdfm,2008-01-01,1992-09-01,2.57427903921734
